Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-07 17:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-08 11:00,2024-11-08 13:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-08 15:30,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-09 07:00,2024-11-09 07:30
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-09 18:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-11 12:30,2024-11-11 15:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-11 16:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-12 07:00,2024-11-12 09:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-12 15:30,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-13 10:00,2024-11-13 11:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-13 16:30,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-14 07:00,2024-11-14 09:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-14 17:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-15 11:00,2024-11-15 13:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-15 15:30,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,D228,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-04 07:00,2024-11-04 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-04 16:00,2024-11-04 17:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-04 18:30,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-05 07:00,2024-11-05 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-05 12:30,2024-11-05 13:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-05 16:00,2024-11-05 17:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-05 19:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-06 20:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-07 07:00,2024-11-07 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-07 12:30,2024-11-07 13:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-07 16:00,2024-11-07 17:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-07 19:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-08 07:00,2024-11-08 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-08 17:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-09 07:00,2024-11-09 07:30
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-09 18:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-11 07:00,2024-11-11 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-11 16:00,2024-11-11 17:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-11 18:30,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-12 07:00,2024-11-12 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-12 12:30,2024-11-12 13:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-12 16:00,2024-11-12 17:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-12 19:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-13 18:30,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-14 07:00,2024-11-14 10:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-14 12:30,2024-11-14 13:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-14 16:00,2024-11-14 17:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-14 19:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-15 17:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,D205,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-04 07:00,2024-11-04 10:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-04 12:00,2024-11-04 13:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-04 15:30,2024-11-04 16:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-04 18:00,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-05 07:00,2024-11-05 09:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-05 12:00,2024-11-05 12:30
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-05 13:30,2024-11-05 14:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-05 18:30,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-06 07:00,2024-11-06 11:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-06 15:30,2024-11-06 16:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-06 18:00,2024-11-06 18:30
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-06 20:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-07 07:00,2024-11-07 11:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-07 18:30,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-08 07:00,2024-11-08 10:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-08 16:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-09 07:00,2024-11-09 07:30
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-09 18:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-11 07:00,2024-11-11 10:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-11 12:00,2024-11-11 13:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-11 15:30,2024-11-11 16:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-11 18:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-12 07:00,2024-11-12 09:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-12 12:00,2024-11-12 12:30
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-12 13:30,2024-11-12 14:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-12 18:30,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-13 07:00,2024-11-13 11:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-13 15:30,2024-11-13 16:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-13 18:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-14 07:00,2024-11-14 11:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-14 18:30,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-15 16:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,D213,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-04 12:30,2024-11-04 13:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-04 15:00,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-05 16:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-06 12:30,2024-11-06 13:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-06 17:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-07 17:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-08 15:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-09 07:00,2024-11-09 07:30
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-09 18:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-11 12:30,2024-11-11 13:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-11 15:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-12 16:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-13 12:30,2024-11-13 13:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-13 17:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-14 17:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-15 15:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,B307,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-04 07:00,2024-11-04 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-04 16:00,2024-11-04 17:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-04 20:00,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-05 20:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-06 07:00,2024-11-06 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-06 16:00,2024-11-06 17:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-06 20:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-07 20:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-08 07:00,2024-11-08 10:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-08 13:00,2024-11-08 14:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-08 16:00,2024-11-08 18:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-08 20:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-09 07:00,2024-11-09 11:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-09 14:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-11 07:00,2024-11-11 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-11 16:00,2024-11-11 17:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-11 20:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-12 20:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-13 07:00,2024-11-13 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-13 16:00,2024-11-13 17:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-13 20:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-14 20:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-15 07:00,2024-11-15 10:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-15 13:00,2024-11-15 14:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-15 16:00,2024-11-15 18:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-15 20:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-16 07:00,2024-11-16 11:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-16 14:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,B315,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-04 07:00,2024-11-04 09:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-04 11:00,2024-11-04 12:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-04 15:00,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-05 12:30,2024-11-05 14:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-05 16:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-06 07:00,2024-11-06 09:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-06 11:00,2024-11-06 12:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-06 15:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-07 12:30,2024-11-07 14:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-07 15:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-08 15:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-09 07:00,2024-11-09 10:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-09 16:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-11 07:00,2024-11-11 09:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-11 11:00,2024-11-11 12:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-11 15:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-12 12:30,2024-11-12 14:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-12 16:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-13 07:00,2024-11-13 09:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-13 11:00,2024-11-13 12:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-13 15:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-14 12:30,2024-11-14 14:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-14 15:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-15 15:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-16 07:00,2024-11-16 10:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-16 16:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,B318,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-04 07:00,2024-11-04 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-04 14:00,2024-11-04 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-04 17:00,2024-11-04 18:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-04 20:00,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-05 15:30,2024-11-05 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-05 20:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-06 07:00,2024-11-06 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-06 16:00,2024-11-06 17:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-06 19:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-07 15:30,2024-11-07 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-07 18:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-08 07:00,2024-11-08 09:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-08 15:00,2024-11-08 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-08 17:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-11 07:00,2024-11-11 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-11 14:00,2024-11-11 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-11 17:00,2024-11-11 18:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-11 20:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-12 15:30,2024-11-12 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-12 20:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-13 07:00,2024-11-13 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-13 16:00,2024-11-13 17:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-13 19:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-14 15:30,2024-11-14 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-14 18:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-15 07:00,2024-11-15 09:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-15 15:00,2024-11-15 16:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-15 17:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,D201,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-04 07:00,2024-11-04 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-04 14:00,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-05 17:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-06 07:00,2024-11-06 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-06 20:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-07 16:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-08 07:00,2024-11-08 11:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-08 15:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-11 07:00,2024-11-11 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-11 14:00,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-12 17:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-13 07:00,2024-11-13 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-13 20:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-14 16:00,2024-11-14 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-15 07:00,2024-11-15 11:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-15 15:00,2024-11-15 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-16 07:00,2024-11-16 22:00
UBCV,2024-2025,BUCH,Buchanan,D204,General,2024-11-17 07:00,2024-11-17 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-04 07:00,2024-11-04 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-04 15:30,2024-11-04 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-04 17:00,2024-11-04 18:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-04 19:30,2024-11-04 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-05 07:00,2024-11-05 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-05 12:30,2024-11-05 14:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-05 15:30,2024-11-05 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-05 20:00,2024-11-05 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-06 07:00,2024-11-06 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-06 15:30,2024-11-06 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-06 20:00,2024-11-06 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-07 07:00,2024-11-07 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-07 12:30,2024-11-07 14:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-07 15:30,2024-11-07 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-07 17:00,2024-11-07 18:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-07 21:00,2024-11-07 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-08 07:00,2024-11-08 10:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-08 14:00,2024-11-08 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-08 18:00,2024-11-08 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-10 07:00,2024-11-10 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-11 07:00,2024-11-11 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-11 15:30,2024-11-11 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-11 17:00,2024-11-11 18:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-11 19:30,2024-11-11 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-12 07:00,2024-11-12 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-12 12:30,2024-11-12 14:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-12 15:30,2024-11-12 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-12 20:00,2024-11-12 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-13 07:00,2024-11-13 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-13 15:30,2024-11-13 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-13 20:00,2024-11-13 22:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-14 07:00,2024-11-14 09:30
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-14 15:30,2024-11-14 16:00
UBCV,2024-2025,BUCH,Buchanan,D217,General,2024-11-14 17:00,2024-11-14 18:00
